Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,3980.0,3990.0,3820.0,3840.0,3840.0,148751200
2022-12-06,3640.0,3720.0,3580.0,3600.0,3600.0,416468700
2022-12-07,3600.0,3700.0,3570.0,3680.0,3680.0,278572200
2022-12-08,3700.0,3780.0,3620.0,3740.0,3740.0,245646400
2022-12-09,3680.0,3720.0,3630.0,3650.0,3650.0,164606100
2022-12-12,3670.0,3710.0,3640.0,3700.0,3700.0,170545000
2022-12-13,3690.0,3790.0,3680.0,3750.0,3750.0,231127000
2022-12-14,3820.0,3820.0,3740.0,3750.0,3750.0,107175700
2022-12-15,3680.0,3720.0,3670.0,3670.0,3670.0,143233600
2022-12-16,3610.0,3740.0,3610.0,3680.0,3680.0,310944500
2022-12-19,3740.0,3790.0,3680.0,3720.0,3720.0,119137700
2022-12-20,3730.0,3750.0,3700.0,3720.0,3720.0,55351300
2022-12-21,3690.0,3790.0,3670.0,3790.0,3790.0,98741000
2022-12-22,3800.0,3810.0,3740.0,3750.0,3750.0,68702100
2022-12-23,3710.0,3780.0,3700.0,3780.0,3780.0,45179400
2022-12-26,3780.0,3800.0,3730.0,3750.0,3750.0,19216700
2022-12-27,3770.0,3840.0,3750.0,3810.0,3810.0,49816500
2022-12-28,3800.0,3810.0,3710.0,3730.0,3730.0,65006300
2022-12-29,3720.0,3790.0,3710.0,3780.0,3780.0,51703500
2022-12-30,3760.0,3800.0,3750.0,3750.0,3750.0,79677300
2023-01-02,3750.0,3800.0,3750.0,3800.0,3800.0,7959900
2023-01-03,3790.0,3890.0,3770.0,3860.0,3860.0,64235000
2023-01-04,3840.0,3860.0,3810.0,3820.0,3820.0,56785600
2023-01-05,3800.0,3820.0,3720.0,3770.0,3770.0,135167000
2023-01-06,3750.0,3770.0,3710.0,3710.0,3710.0,65207400
2023-01-09,3730.0,3790.0,3730.0,3790.0,3790.0,46616400
2023-01-10,3810.0,3850.0,3750.0,3830.0,3830.0,80009900
2023-01-11,3820.0,3900.0,3790.0,3870.0,3870.0,75139300
2023-01-12,3790.0,3900.0,3780.0,3860.0,3860.0,105775500
2023-01-13,3820.0,3860.0,3770.0,3780.0,3780.0,85780600
2023-01-16,3780.0,3850.0,3780.0,3850.0,3850.0,58918700
2023-01-17,3870.0,3990.0,3860.0,3950.0,3950.0,132256600
2023-01-18,4010.0,4010.0,3900.0,3930.0,3930.0,94772000
2023-01-19,3900.0,3980.0,3880.0,3890.0,3890.0,109555200
2023-01-20,3910.0,3920.0,3850.0,3870.0,3870.0,88457800
2023-01-24,3890.0,3910.0,3850.0,3850.0,3850.0,45504900
2023-01-25,3850.0,3880.0,3810.0,3840.0,3840.0,80575100
2023-01-26,3850.0,4000.0,3850.0,3970.0,3970.0,117238000
2023-01-27,3970.0,3990.0,3950.0,3960.0,3960.0,100769500
2023-01-30,3960.0,3970.0,3910.0,3960.0,3960.0,59425300
2023-01-31,3940.0,3950.0,3850.0,3850.0,3850.0,179726700
2023-02-01,3850.0,3900.0,3840.0,3870.0,3870.0,70997300
2023-02-02,3850.0,3900.0,3840.0,3890.0,3890.0,78852300
2023-02-03,3910.0,3920.0,3870.0,3880.0,3880.0,55154800
2023-02-06,3860.0,3910.0,3850.0,3880.0,3880.0,58861300
2023-02-07,3880.0,3880.0,3800.0,3800.0,3800.0,76254900
2023-02-08,3800.0,3850.0,3790.0,3840.0,3840.0,65856500
2023-02-09,3840.0,3840.0,3760.0,3770.0,3770.0,91337300
2023-02-10,3750.0,3800.0,3690.0,3800.0,3800.0,88759600
2023-02-13,3800.0,3810.0,3750.0,3790.0,3790.0,69004400
2023-02-14,3830.0,3830.0,3760.0,3800.0,3800.0,80331100
2023-02-15,3810.0,3820.0,3730.0,3790.0,3790.0,59028200
2023-02-16,3800.0,3800.0,3750.0,3770.0,3770.0,49869900
2023-02-17,3770.0,3770.0,3720.0,3760.0,3760.0,50369000
2023-02-20,3760.0,3820.0,3760.0,3820.0,3820.0,57438900
2023-02-21,3850.0,3870.0,3830.0,3840.0,3840.0,63880300
2023-02-22,3850.0,3870.0,3800.0,3860.0,3860.0,48505600
2023-02-23,3950.0,3970.0,3890.0,3970.0,3970.0,109147100
2023-02-24,4000.0,4040.0,3950.0,4040.0,4040.0,142165700
2023-02-27,3990.0,4000.0,3920.0,3960.0,3960.0,66461600
2023-02-28,3930.0,3970.0,3880.0,3880.0,3880.0,115766900
2023-03-01,3930.0,3990.0,3910.0,3930.0,3930.0,47395200
2023-03-02,3900.0,3930.0,3880.0,3880.0,3880.0,43208800
